Warming (2deg-years),Utility loss (%CBGE),Mitigation cost (%CBGE),Damage cost (%CBGE),Abat(2030)/.5degC (%),Abat(2050)/.5degC (%),95th damage cost (%BGE),95th max temp (degC)
147.43,1.76,0.62,1.14,31.11,22.23,1.58,4.15
148.38,1.76,0.61,1.14,32.21,23.06,1.59,4.16
148.75,1.75,0.61,1.14,33.66,22.83,1.57,4.14
149.70,1.75,0.61,1.14,34.97,23.65,1.53,4.06
151.24,1.75,0.61,1.13,39.90,23.55,1.52,4.05
142.46,1.78,0.65,1.12,30.13,23.42,1.57,4.11
143.47,1.77,0.64,1.12,32.32,23.44,1.55,4.10
144.50,1.77,0.63,1.13,31.26,22.72,1.57,4.11
145.19,1.77,0.63,1.13,32.18,22.55,1.56,4.11
145.97,1.76,0.63,1.13,34.70,24.12,1.52,4.05
146.54,1.76,0.63,1.12,36.57,24.10,1.52,4.04
147.98,1.76,0.63,1.12,40.04,24.78,1.50,4.02
139.48,1.79,0.67,1.11,32.56,24.35,1.56,4.11
140.46,1.78,0.66,1.11,33.93,24.35,1.54,4.08
141.49,1.78,0.65,1.12,32.55,24.10,1.56,4.11
142.40,1.77,0.65,1.12,35.12,24.47,1.53,4.08
143.10,1.77,0.65,1.11,36.55,24.54,1.51,4.03
144.30,1.77,0.65,1.11,38.28,25.78,1.48,3.98
144.60,1.77,0.65,1.11,40.15,25.47,1.50,4.01
136.47,1.79,0.69,1.10,33.70,25.19,1.52,4.04
137.50,1.79,0.68,1.10,34.35,24.60,1.53,4.07
138.49,1.79,0.67,1.11,30.80,24.60,1.55,4.08
139.20,1.78,0.67,1.11,34.10,24.74,1.54,4.08
140.00,1.78,0.67,1.10,37.41,25.27,1.50,4.01
140.67,1.78,0.67,1.10,39.11,25.63,1.49,4.00
142.01,1.78,0.68,1.10,41.13,27.08,1.46,3.94
134.50,1.80,0.70,1.09,33.31,25.14,1.52,4.04
135.36,1.80,0.70,1.10,33.16,25.82,1.51,4.02
136.45,1.79,0.69,1.10,35.98,25.72,1.51,4.03
137.34,1.79,0.69,1.09,39.19,26.21,1.49,4.00
137.73,1.79,0.69,1.09,39.87,26.38,1.48,3.98
138.52,1.79,0.69,1.09,41.74,26.53,1.45,3.93
131.49,1.81,0.72,1.08,35.55,26.48,1.51,4.02
132.48,1.81,0.72,1.08,35.56,26.18,1.50,4.00
133.40,1.81,0.71,1.09,34.65,25.44,1.52,4.04
133.63,1.80,0.71,1.09,37.03,26.28,1.50,4.02
135.20,1.80,0.71,1.08,41.03,27.35,1.46,3.95
128.48,1.82,0.75,1.07,36.80,27.16,1.49,3.98
129.45,1.82,0.74,1.07,36.83,27.22,1.48,3.98
130.45,1.82,0.73,1.08,35.15,26.64,1.49,3.99
130.69,1.82,0.73,1.08,35.06,26.60,1.51,4.02
132.05,1.81,0.73,1.07,40.54,27.11,1.44,3.92
132.51,1.81,0.73,1.07,41.28,27.37,1.44,3.91
126.47,1.83,0.76,1.06,37.07,27.58,1.48,3.98
127.50,1.83,0.76,1.07,37.64,27.05,1.47,3.95
128.28,1.82,0.75,1.07,37.89,27.25,1.47,3.96
128.77,1.82,0.75,1.07,41.15,27.66,1.45,3.94
129.64,1.82,0.75,1.06,43.14,28.18,1.44,3.92
130.82,1.82,0.75,1.06,45.16,29.23,1.42,3.87
123.43,1.85,0.79,1.06,36.27,28.21,1.47,3.94
124.46,1.84,0.78,1.06,37.83,28.16,1.47,3.96
